"","index","Year","Goal","Goal0","Author_original","Author_first","Author_firstname","AuthorType","Gender","Title"
"1","dsa001",2021,"Art","Art","Enrico Dorigattti","Enrico Dorigattti","Enrico","single","male","76-A Multimedia Representation of the increase of Global Warming"
"2","dsa002",2014,"Public Engagement","Engagement","Jon Bellona","Jon Bellona","Jon","single","male","#Carbonfeed"
"3","dsa003",2003,"Art","Art","Isao Hashimoto","Isao Hashimoto","Isao","single","male","1945-1998"
"4","dsa004",2008,"Research","Research","Konstantin .G. Kebkal, R. Bannasch, O.G. Kebkal, A.I. Panfilov and R. Wischnewskic","Konstantin Kebkal","Konstantin","multiple","male","3D acoustic imaging applied to the Baikal Neutrino Telescope"
"5","dsa005",2019,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","4000 Exoplanets"
"6","dsa006",2022,"Public Engagement","Engagement","NASA/JPL-Caltech/SYSTEM Sounds (M. Russo, A. Santaguida)","Matt Russo","Matt","multiple","male","5000 Exoplanets"
"7","dsa007",2018,"Art","Art","Falk Morawitz","Falk Morawitz","Falk","single","male","56Fe (2018)"
"8","dsa008",2016,"Research","Research","Manuel Senfft & IGEP/TU Braunschweig","Manuel Senfft","Manuel","multiple","male","A Comet's Life"
"9","dsa009",2020,"Accessibility","Research","Chris Harrison and Nic Bonne","Chris Harrison","Chris","multiple","male","A Dark Tour of the Universe"
"10","dsa010",2016,"Art","Art","Michaela Gleave with Amanda Cole and Warren Armstrong","Michaela Gleave","Michaela","multiple","female","A Galaxy of Suns"
"11","dsa011",2020,"Public Engagement","Engagement","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)","Matt Russo","Matt","multiple","male","A New Cosmic Triad of Sound"
"12","dsa012",2022,"Research","Research","Benjamin Renard","Benjamin Renard","Benjamin","single","male","A postcard from Antarctica"
"13","dsa013",2022,"Research","Research","Miles Blencowe","Miles Blencowe","Miles","single","male","A Quantum Drum"
"14","dsa014",2021,"Research","Research","Miles Blencowe","Miles Blencowe","Miles","single","male","A Quantum Soundscape"
"15","dsa015",2014,"Research","Research","Manuel Senfft and European Space Agenncy","Manuel Senfft","Manuel","multiple","male","A Singing Comet"
"16","dsa016",2013,"Public Engagement","Engagement","Daniel Crawford & Scott S. George/University of Minnesota","Daniel Crawford","Daniel","multiple","male","A Song of Our Warming Planet"
"17","dsa017",2022,"Public Engagement","Engagement","SYSTEM Sounds/Munck Studios","Andrew Santaguida","Andrew","multiple","male","A Sonic Journey Across the Universe"
"18","dsa018",2016,"Data Journalism","Engagement","Reveal News","Michael Corey","Michael","association","male","A Sonic Memorial"
"19","dsa019",2021,"Public Engagement","Engagement","Sandro Bardelli, Claudia Ferretti, Giorgio Presti, Maurizio Rinaldi","Sandro Bardelli","Sandro","multiple","male","A Sonification of the zCOSMOS Galaxy Dataset: a history of galaxies"
"20","dsa020",2016,"Art","Art","John Collins, Mark Hansen, Ben Rubin and Jer Thorp","John Collins","John","multiple","male","A Sort of Joy"
"21","dsa021",2021,"Public Engagement","Engagement","Duncan Geere & Miriam Quick (Loud Numbers)","Duncan Geere","Duncan","multiple","male","A Symphony of Bureaucracy"
"22","dsa022",2020,"Accessibility","Research","University of Patras","Ioannis Gialelis","Ioannis","multiple","male","A4BD - Astronomy for the Blind and the Disabled"
"23","dsa023",2021,"Research","Research","ISA and European Space Agency","",NA,"multiple","association","Accelerometer data during BepiColombo’s Venus flyby"
"24","dsa024",2009,"Art","Art","Fiorella Terenzi","Fiorella Terenzi","Fiorella","single","female","Acoustic Astronomy"
"25","dsa025",2016,"Public Engagement","Engagement","Cath Le Couteur, Nick Ryan","Cath Le_Couteur","Cath","multiple","female","Adrift (Machine 9)"
"26","dsa026",2014,"Art","Art","Gregory Reeves","Gregory Reeves","Gregory","single","male","AERO"
"27","dsa027",2017,"Accessibility","Research","Joshua Haislip","Joshua Haislip","Joshua","single","male","Afterglow Access"
"28","dsa028",2014,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Air Play"
"29","dsa029",2020,"Research","Research","Pedro Sarmento","Pedro Sarmento","Pedro","single","male","Air Pollution During Lockdown"
"30","dsa030",2015,"Public Engagement","Engagement","Antonio Hales and Ricardo Finger","Antonio Hales","Antonio","multiple","male","ALMA Sounds"
"31","dsa031",2020,"Research","Research","Maaike van Cruchten en Frank Kloos","Maaike van_Cruchten","Maaike","multiple","female","Amsterdam in and out of lockdown"
"32","dsa032",2017,"Data Analysis","Research","Mark Temple","Mark Temple","Mark","single","male","An auditory display tool for DNA sequence analysis"
"33","dsa033",2017,"Art","Art","Sara Lenzi, Stefano Silvestri, Giosue Grassia","Sara Lenzi","Sara","multiple","female","An empty stream, a great silence, an impenetrable forest"
"34","dsa034",2012,"Art","Art","Denis P Paul","Denis Paul","Denis","single","male","An Instrument for the Sonification of Everday Things"
"35","dsa035",2012,"Research","Research","LazerLAB, Northeastern University, Boston","David Lazer","David","multiple","male","Angry Pac"
"36","dsa036",2019,"Art","Art","Jamie Perera","Jamie Perera","Jamie","single","male","Anthropocene in C Major’"
"37","dsa037",2020,"Research","Research","ISA and European Space Agency","",NA,"multiple","association","Approaching Earth: Sound of BepiColombo Earth flyby"
"38","dsa038",2016,"Art","Art","Jon Bellona, John Park, and John Reagan","Jon Bellona","Jon","multiple","male","Aqualitative"
"39","dsa039",2010,"Art","Art","Robert Jarvis","Robert Jarvis","Robert","single","male","aroundNorth"
"40","dsa040",2016,"Art","Art","Mathilde Lavenne and Daniel Cabanzo, IRCAM","Mathilde Lavenne","Mathilde","multiple","female","Artefact, Digital Necrophony"
"41","dsa041",2014,"Public Engagement","Engagement","Fletcher Moore","Fletcher Moore","Fletcher","single","male","Artificial Killing Machine"
"42","dsa043",2020,"Research","Research","Francesco Aletta, Tin Oberman, Andrew Mitchell, Huan Tong and Jian Kang","Francesco Aletta","Francesco","multiple","male","Assessing the changing urban sound environment during the COVID-19 lockdown"
"43","dsa044",2021,"Research","Research","Josefina Montalbán, Mackereth, J.T., Miglio, A. et al. Leibniz Institute for Astrophysics Potsdam (AIP)","Josefina Montalbán","Josefina","multiple","female","Asterochronometry"
"44","dsa045",2018,"Accessibility","Research","Yuma ANtoine Decaux","Yuma_Antoine Decaux","Yuma_Antoine","association","male","AstreOS"
"45","dsa046",2020,"Accessibility","Research","Clara Brasseur and Scott Fleming","Clara Brasseur","Clara","multiple","female","Astronify"
